"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","65","Listar todos los usuarios y validar presencia (GET)","","2026-07-11","passed","2026-07-11","","Pruebas de API en JSONPlaceholder","Listar todos los usuarios y validar presencia (GET)",""
"","5906","Checkout negativo usando el zipcode de la API como código postal","","2026-07-11","passed","2026-07-11","","Login Híbrido con API y UI","Checkout negativo usando el zipcode de la API como código postal",""
"","66","Filtrar comentarios por query param (GET)","","2026-07-11","passed","2026-07-11","","Pruebas de API en JSONPlaceholder","Filtrar comentarios por query param (GET)",""
"","90","Obtener un post existente y validar su estructura (GET)","","2026-07-11","passed","2026-07-11","","Pruebas de API en JSONPlaceholder","Obtener un post existente y validar su estructura (GET)",""
"","61","Eliminar un post existente (DELETE)","","2026-07-11","passed","2026-07-11","","Pruebas de API en JSONPlaceholder","Eliminar un post existente (DELETE)",""
"","5875","Intentar realizar checkout con código postal vacío","","2026-07-11","passed","2026-07-11","","Gestión del inventario y carrito en SauceDemo","Intentar realizar checkout con código postal vacío",""
"","5925","Checkout negativo usando la calle de la API como nombre","","2026-07-11","passed","2026-07-11","","Login Híbrido con API y UI","Checkout negativo usando la calle de la API como nombre",""
"","3277","Eliminar un producto del carrito","","2026-07-11","passed","2026-07-11","","Gestión del inventario y carrito en SauceDemo","Eliminar un producto del carrito",""
"","2246","Login negativo con el título de un TODO de la API como usuario","","2026-07-11","passed","2026-07-11","","Login Híbrido con API y UI","Login negativo con el título de un TODO de la API como usuario",""
"","83","Actualizar un post existente (PUT)","","2026-07-11","passed","2026-07-11","","Pruebas de API en JSONPlaceholder","Actualizar un post existente (PUT)",""
"","2781","Añadir un producto al carrito correctamente","","2026-07-11","passed","2026-07-11","","Gestión del inventario y carrito en SauceDemo","Añadir un producto al carrito correctamente",""
"","5876","Checkout negativo con el título de un Album de la API como código postal","","2026-07-11","passed","2026-07-11","","Login Híbrido con API y UI","Checkout negativo con el título de un Album de la API como código postal",""
"","2238","Usuario inicia sesión con credenciales correctas","","2026-07-11","passed","2026-07-11","","Gestión del inventario y carrito en SauceDemo","Usuario inicia sesión con credenciales correctas",""
"","5894","Checkout negativo usando la ciudad de la API como apellido","","2026-07-11","passed","2026-07-11","","Login Híbrido con API y UI","Checkout negativo usando la ciudad de la API como apellido",""
"","6436","Completar proceso de compra exitoso","","2026-07-11","passed","2026-07-11","","Gestión del inventario y carrito en SauceDemo","Completar proceso de compra exitoso",""
"","2215","Usuario bloqueado intenta iniciar sesión","","2026-07-11","passed","2026-07-11","","Login en SauceDemo","Usuario bloqueado intenta iniciar sesión",""
"","2224","Usuario intenta iniciar sesión con contraseña vacía","","2026-07-11","passed","2026-07-11","","Login en SauceDemo","Usuario intenta iniciar sesión con contraseña vacía",""
"","411","Crear un usuario con datos dinámicos (POST)","","2026-07-11","passed","2026-07-11","","Pruebas de API en JSONPlaceholder","Crear un usuario con datos dinámicos (POST)",""
"","5893","Checkout negativo con el título de un Post de la API como apellido","","2026-07-11","passed","2026-07-11","","Login Híbrido con API y UI","Checkout negativo con el título de un Post de la API como apellido",""
"","2217","Usuario intenta hacer login con credenciales inválidas","","2026-07-11","passed","2026-07-11","","Login en SauceDemo","Usuario intenta hacer login con credenciales inválidas",""
"","5844","Intentar realizar checkout con nombre vacío","","2026-07-11","passed","2026-07-11","","Gestión del inventario y carrito en SauceDemo","Intentar realizar checkout con nombre vacío",""
"","3310","Cierre de sesión exitoso desde el catálogo","","2026-07-11","passed","2026-07-11","","Login en SauceDemo","Cierre de sesión exitoso desde el catálogo",""
"","2263","Login negativo usando el sitio web de la API como contraseña","","2026-07-11","passed","2026-07-11","","Login Híbrido con API y UI","Login negativo usando el sitio web de la API como contraseña",""
"","73","Obtener comentarios de un post específico (GET)","","2026-07-11","passed","2026-07-11","","Pruebas de API en JSONPlaceholder","Obtener comentarios de un post específico (GET)",""
"","70","Modificar parcialmente un post existente (PATCH)","","2026-07-11","passed","2026-07-11","","Pruebas de API en JSONPlaceholder","Modificar parcialmente un post existente (PATCH)",""
"","2329","Bloqueo de login usando usuario real de la API","","2026-07-11","passed","2026-07-11","","Login Híbrido con API y UI","Bloqueo de login usando usuario real de la API",""
"","67","Intentar obtener un post inexistente (GET - Caso Negativo)","","2026-07-11","passed","2026-07-11","","Pruebas de API en JSONPlaceholder","Intentar obtener un post inexistente (GET - Caso Negativo)",""
"","2237","Login negativo usando la compañía de la API como usuario","","2026-07-11","passed","2026-07-11","","Login Híbrido con API y UI","Login negativo usando la compañía de la API como usuario",""
"","2255","Login negativo usando el email de la API como usuario","","2026-07-11","passed","2026-07-11","","Login Híbrido con API y UI","Login negativo usando el email de la API como usuario",""
"","71","Listar todos los posts (GET)","","2026-07-11","passed","2026-07-11","","Pruebas de API en JSONPlaceholder","Listar todos los posts (GET)",""
